epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,4990.97,1.35012,0.71634,1.58425,0.88016,0.8954,0.93473,0.4992,1.42699,0.55116,1.73137,0.004555,0.004555,0.004555
57,5082.34,1.34125,0.70973,1.57383,0.86781,0.90317,0.93523,0.49886,1.42946,0.55038,1.73272,0.004456,0.004456,0.004456
58,5173.51,1.33986,0.71186,1.56905,0.85641,0.92171,0.935,0.49849,1.42931,0.55086,1.73304,0.004357,0.004357,0.004357
59,5264.31,1.33773,0.70651,1.57209,0.86416,0.91089,0.93536,0.4982,1.4337,0.54807,1.7368,0.004258,0.004258,0.004258
60,5356.83,1.33237,0.70804,1.5673,0.86957,0.90557,0.93546,0.49912,1.43251,0.54803,1.73645,0.004159,0.004159,0.004159
61,5447.72,1.32787,0.70285,1.56381,0.86938,0.91083,0.9342,0.49921,1.43502,0.54583,1.7345,0.00406,0.00406,0.00406
62,5539.5,1.32537,0.69929,1.56224,0.8704,0.90585,0.93406,0.49828,1.4361,0.54655,1.73654,0.003961,0.003961,0.003961
63,5631.6,1.3182,0.69672,1.55499,0.87734,0.90105,0.93468,0.49816,1.43627,0.54508,1.74018,0.003862,0.003862,0.003862
64,5720.13,1.31961,0.69957,1.55216,0.88012,0.8942,0.9355,0.49777,1.43904,0.54621,1.74517,0.003763,0.003763,0.003763
65,5810.29,1.31893,0.6981,1.55219,0.86388,0.91642,0.93754,0.49786,1.4401,0.54636,1.74675,0.003664,0.003664,0.003664
66,5901.49,1.313,0.69174,1.55056,0.8853,0.88983,0.93576,0.49541,1.44158,0.54632,1.74858,0.003565,0.003565,0.003565
67,5992.29,1.30582,0.68247,1.53896,0.87146,0.90505,0.93434,0.49763,1.44125,0.54649,1.74933,0.003466,0.003466,0.003466
68,6081.78,1.30476,0.68488,1.54094,0.8753,0.90072,0.93309,0.49649,1.44209,0.54642,1.75091,0.003367,0.003367,0.003367
69,6172.77,1.30021,0.68319,1.53891,0.88261,0.89849,0.93397,0.49596,1.44131,0.54534,1.75025,0.003268,0.003268,0.003268
70,6263.8,1.29972,0.67886,1.53402,0.87619,0.90648,0.93376,0.4972,1.44499,0.54522,1.75466,0.003169,0.003169,0.003169
71,6354.58,1.29903,0.68158,1.53714,0.8782,0.90203,0.93185,0.49653,1.44482,0.54593,1.75518,0.00307,0.00307,0.00307
72,6445.9,1.29505,0.67922,1.53725,0.87493,0.90847,0.9332,0.49603,1.44596,0.54508,1.75751,0.002971,0.002971,0.002971
73,6537.78,1.29399,0.67498,1.53171,0.87624,0.9035,0.93044,0.49423,1.44511,0.54466,1.75827,0.002872,0.002872,0.002872
74,6629.71,1.28353,0.67212,1.52601,0.86277,0.92409,0.93145,0.4933,1.44722,0.54485,1.76119,0.002773,0.002773,0.002773
75,6719.98,1.28349,0.67158,1.52727,0.86409,0.91514,0.93317,0.49447,1.4473,0.54522,1.76221,0.002674,0.002674,0.002674
76,6812.06,1.28305,0.67078,1.51844,0.86186,0.92051,0.93275,0.49266,1.44847,0.54598,1.76393,0.002575,0.002575,0.002575
77,6904.3,1.27717,0.66823,1.52369,0.87418,0.90709,0.93234,0.49279,1.45038,0.54628,1.7667,0.002476,0.002476,0.002476
78,6996.23,1.27577,0.66549,1.51826,0.87037,0.91372,0.93218,0.49072,1.45227,0.54704,1.76922,0.002377,0.002377,0.002377
79,7088.3,1.27153,0.66137,1.5154,0.87466,0.90897,0.93218,0.4907,1.45269,0.5467,1.76992,0.002278,0.002278,0.002278
80,7175.7,1.26546,0.65761,1.51099,0.8726,0.91256,0.93288,0.49243,1.45274,0.54672,1.77025,0.002179,0.002179,0.002179
81,7266.07,1.26699,0.65803,1.51086,0.87232,0.91699,0.93353,0.49287,1.45356,0.54574,1.77187,0.00208,0.00208,0.00208
82,7353.05,1.26246,0.65703,1.51066,0.87132,0.91797,0.93288,0.49304,1.45346,0.54615,1.7729,0.001981,0.001981,0.001981
83,7441.8,1.26275,0.65388,1.50534,0.86914,0.91631,0.93068,0.49215,1.45427,0.54558,1.77404,0.001882,0.001882,0.001882
84,7531.59,1.25241,0.64932,1.49838,0.86937,0.91436,0.93216,0.49238,1.45642,0.54667,1.77606,0.001783,0.001783,0.001783
85,7622.55,1.25215,0.64979,1.49917,0.87161,0.91276,0.93131,0.49077,1.45718,0.54664,1.7784,0.001684,0.001684,0.001684
86,7713.72,1.24852,0.64471,1.49604,0.87397,0.91133,0.93116,0.49157,1.45773,0.54688,1.7802,0.001585,0.001585,0.001585
87,7803.62,1.25031,0.64692,1.50182,0.87303,0.91363,0.93143,0.49164,1.45859,0.54669,1.78156,0.001486,0.001486,0.001486
88,7893.28,1.24337,0.64416,1.49059,0.87012,0.91372,0.93101,0.49003,1.45956,0.54728,1.78351,0.001387,0.001387,0.001387
89,7982.91,1.24509,0.64705,1.49459,0.87413,0.91147,0.93044,0.48914,1.46028,0.54806,1.78522,0.001288,0.001288,0.001288
90,8069.81,1.24175,0.6415,1.49182,0.87745,0.90615,0.93008,0.48887,1.46174,0.54796,1.78762,0.001189,0.001189,0.001189
91,8162.43,1.2122,0.56596,1.52353,0.87556,0.91,0.93045,0.48921,1.4616,0.54727,1.78914,0.00109,0.00109,0.00109
92,8252.38,1.20047,0.55888,1.51771,0.87682,0.90919,0.93008,0.48913,1.46259,0.54734,1.79185,0.000991,0.000991,0.000991
93,8342.8,1.19924,0.55925,1.51441,0.87717,0.90835,0.93012,0.48973,1.46347,0.54717,1.79409,0.000892,0.000892,0.000892
94,8432.76,1.18732,0.55146,1.50241,0.87593,0.90851,0.92982,0.49089,1.46413,0.5475,1.79596,0.000793,0.000793,0.000793
95,8522.62,1.18575,0.55129,1.50282,0.87595,0.90772,0.92962,0.49066,1.46555,0.54796,1.79866,0.000694,0.000694,0.000694
96,8613.13,1.17445,0.54399,1.49546,0.87455,0.90843,0.92979,0.49088,1.46673,0.5488,1.80099,0.000595,0.000595,0.000595
97,8703.69,1.17093,0.54418,1.49206,0.8751,0.9074,0.92971,0.49101,1.46784,0.54904,1.80309,0.000496,0.000496,0.000496
98,8794.04,1.17164,0.54408,1.49451,0.87562,0.90792,0.92964,0.4916,1.46878,0.54955,1.80501,0.000397,0.000397,0.000397
99,8885.4,1.16487,0.54173,1.4912,0.87665,0.9056,0.92955,0.4917,1.47009,0.5504,1.80762,0.000298,0.000298,0.000298
100,8976.45,1.1629,0.54095,1.48863,0.87768,0.9056,0.92961,0.49163,1.47093,0.55077,1.80952,0.000199,0.000199,0.000199
